,titleleft,authors,isbn13left,synopsis
10,THE LOST SYMBOL,"['Brown, Dan']",9780385533133,"#1 WORLDWIDE BESTSELLER • An intelligent, lightning-paced thriller set within the hidden chambers, tunnels, and temples of Washington, D.C., with surprises at every turn. • Don’t miss the Peacock original series Dan Brown’s The Lost Symbol! “Impossible to put down.... Another mind-blowing Robert Langdon story.” —The New York Times Famed Harvard symbologist Robert Langdon answers an unexpected summons to appear at the U.S. Capitol Building. His plans are interrupted when a disturbing object—artfully encoded with five symbols—is discovered in the building. Langdon recognizes in the find an ancient invitation into a lost world of esoteric, potentially dangerous wisdom. When his mentor Peter Solomon—a long-standing Mason and beloved philanthropist—is kidnapped, Langdon realizes that the only way to save Solomon is to accept the mystical invitation and plunge headlong into a clandestine world of Masonic secrets, hidden history, and one inconceivable truth ... all under the watchful eye of Dan Brown's most terrifying villain to date."
11,CROSS FIRE,"['Patterson, James']",9780316071901,"When a beloved relative is murdered, Detective Alex Cross vows to hunt down the killer . . . and discovers a secret that could rock the entire world. Detective Alex Cross is pulled out of a family celebration and given the awful news that a beloved niece was brutally murdered. Alex vows to hunt down the killer, and soon learns that she was mixed up in one of Washington, D. C.'s wildest scenes. And she was not this killer's only victim. The hunt for the murderer leads Alex and his girlfriend, Detective Brianna Stone, to Washington's most infamous club-a place where every fantasy is possible, if you have the credentials to get in. The killer could be one of their patrons, one of Washington's elite who will do anything to keep their secrets buried. With astonishing plot twists and electrifying revelations that will keep readers on the edge of their seat, I, Alex Cross is the master of suspense at his sharpest and best."
12,"UNDER THE DOME, PART 1","['King, Stephen']",9781439148501,"The Small Town Of Chester's Mill, Maine, Is Faced With A Big Dilemma When It Is Mysteriously Sealed Off By An Invisible And Completely Impenetrable Force Field. With Cars And Airplanes Exploding On Contact, The Force Field Has Completely Isolated The Townspeople From The Outside World. Now, Iraq War Vet Dale Barbara And A Group Of The Town's More Sensible Citizens Must Overcome The Tyrannical Rule Of Big Jim Rennie, A Politician Bent On Controlling Everything Within The Dome. Hardback -on An Entirely Normal, Beautiful Fall Day In Chester's Mill, Maine, The Town Is Inexplicably And Suddenly Sealed Off From The Rest Of The World By An Invisible Force Field. Planes Crash Into It And Fall From The Sky In Flaming Wreckage, A Gardener's Hand Is Severed As The Dome Comes Down On It, People Running Errands In The Neighboring Town Are Divided From Their Families, And Cars Explode On Impact. No One Can Fathom What This Barrier Is, Where It Came From, And When -- Or If -- It Will Go Away.dale Barbara, Iraq Vet And Now A Short-order Cook, Finds Himself Teamed With A Few Intrepid Citizens -- Town Newspaper Owner Julia Shumway, A Physician's Assistant At The Hospital, A Select-woman, And Three Brave Kids. Against Them Stands Big Jim Rennie, A Politician Who Will Stop At Nothing -- Even Murder -- To Hold The Reins Of Power, And His Son, Who Is Keeping A Horrible Secret In A Dark Pantry. But Their Main Adversary Is The Dome Itself. Because Time Isn't Just Short. It's Running Out. Stephen King."
13,THE HELP,"['Stockett, Kathryn']",9780399155345,"<p><p>Be prepared to meet three unforgettable women&#58;<p>Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.<p>Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.<p>Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town...</p><h3>The Washington Post - Sybil Steinberg</h3><p>Southern whites' guilt for not expressing gratitude to the black maids who raised them threatens to become a familiar refrain. But don't tell Kathryn Stockett because her first novel is a nuanced variation on the theme that strikes every note with authenticity. In a page-turner that brings new resonance to the moral issues involved, she spins a story of social awakening as seen from both sides of the American racial divide.</p>"
14,U IS FOR UNDERTOW,"['Grafton, Sue']",9780399155970,<p><P>Eyewitness testimony is notoriously unreliable. Even more so when Kinsey Millhone's only lead is a grown man dredging up a repressed childhood memory-of something that may never have happened...</p>
15,THE BOOK OF GENESIS: ILLUSTRATED,"['Crumb, R.']",9780393061024,"Envisioning the first book of the bible like no one before him, R. Crumb, the legendary illustrator, reveals here the story of Genesis in a profoundly honest and deeply moving way. Originally thinking that we would do a take off of Adam and Eve, Crumb became so fascinated by the Bible’s language, “a text so great and so strange that it lends itself readily to graphic depictions,” that he decided instead to do a literal interpretation using the text word for word in a version primarily assembled from the translations of Robert Alter and the King James bible.
<p>Now, readers of every persuasion—Crumb fans, comic book lovers, and believers—can gain astonishing new insights from these harrowing, tragic, and even juicy stories. Crumb’s <em>Book of Genesis</em> reintroduces us to the bountiful tree lined garden of Adam and Eve, the massive ark of Noah with beasts of every kind, the cities of Sodom and Gomorrah destroyed by brimstone and fire that rained from the heavens, and the Egypt of the Pharaoh, where Joseph’s embalmed body is carried in a coffin, in a scene as elegiac as any in Genesis. Using clues from the text and peeling away the theological and scholarly interpretation that have often obscured the Bible’s most dramatic stories, Crumb fleshes out a parade of Biblical originals: from the serpent in Eden, the humanoid reptile appearing like an alien out of a science fiction movie, to Jacob, a “kind’ve depressed guy who doesn’t strike you as physically courageous,” and his bother, Esau, “a rough and kick ass guy,” to Abraham’s wife Sarah, more fetching than most woman at 90, to God himself, “a standard Charlton Heston-like figure with long white hair and a flowing beard.”</p>
<p>As Crumb writes in his introduction, “the stories of these people, the Hebrews, were something more than just stories. They were the foundation, the source, in writing of religious and political power, handed down by God himself.” Crumb’s <em>Book of Genesis</em>, the culmination of 5 years of painstaking work, is a tapestry of masterly detail and storytelling which celebrates the astonishing diversity of the one of our greatest artistic geniuses.</p>
<p>Nominated for three 2010 Will Eisner Comic Industry Awards: Best Adaptation from Another Work, Best Graphic Album, Best Writer/Artist.</p>"
16,THE WONDERFUL WIZARD OF OZ,"['Eric Shanower', 'L. Frank Baum']",9780785129219,"<p>The premiere American fantasy adventure gets the Merry Marvel treatment! Eisner Award-winning writer/artist Eric Shanower (Age of Bronze) teams up with fan-favorite artist Skottie Young (New X-Men) to bring L. Frank Baum's beloved classic to life! When Kansas farm girl Dorothy flies away to the magical Land of Oz, she fatally flattens a Wicked Witch, liberates a living Scarecrow and is hailed by the Munchkin people as a great sorceress... but all she really wants to know is&#58; how does she get home?<br>Collects The Wonderful Wizard of Oz #1-8.</p><h3>The Washington Post - Dave Burban and Karen MacPherson</h3><p>&#8230;Skottie Young's charming and whimsical art brings new life and humor to familiar characters.</p>"
17,PRIDE AND PREJUDICE,['Jane Austen'],9780785139157,"<p><P>It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife...  Tailored from the adored Jane Austen classic, Marvel Comics is proud to present Pride & Prejudice! Two-time Rita Award-Winner Nancy Butler and fan-favorite Hugo Petras faithfully adapt the whimsical tale of Lizzy Bennet and her loveable-if-eccentric family, as they navigate through tricky British social circles. Will Lizzy's father manage to marry off her five daughters, despite his wife's incessant nagging? And will Lizzy's beautiful sister Jane marry the handsome, wealthy Mr. Bingley, or will his brooding friend Mr. Darcy stand between their happiness?<p>Collects Pride & Prejudice #1-5.</p><h3>Library Journal</h3><p>It is a truth universally acknowledged that the United States is not Japan, and certainly this is no multivolume manga. We don't savor at length Lizzie's inner monologs or hover along through the Regency social dailiness that contextualizes Austen's comedy of matrimony. To be fair, the basic plot is pretty much here, bonsaied down from Austen's 400-plus pages. And Butler does quite a good job at keeping the continuity while letting each major character have a chance in the spotlight. But Austen's women don't come off well&mdash;they all have a similar superhero female character from central casting look, seeming even to wear lipstick. The muddy coloring doesn't help either, with too many browns and ochres slathered together to scream, IN THE PAST. (We shouldn't blame Petrus, a capable Spanish artist who perhaps received misleading direction.) VERDICT This P&P packages Austen's classic for fanboys and newbies. Women readers and Austenites are likely to want more story, more appealing art, and more distinctive female characters. For teens and up.&mdash;M.C.</p>"
18,WOLVERINE: OLD MAN LOGAN,['Mark Millar'],9780785131595,"<p><p>mark Millar And Steve Mcniven - Who Last Teamed For The Monumental Civil War - Bring Us The Most Important Wolverine Story Of The 21st Century. Nobody Knows What Happened On The Night The Heroes Fell. All We Know Is That They Disappeared And Evil Triumphed And The Bad Guys Have Been Calling The Shots Ever Since. What Happened To Wolverine Is The Biggest Mystery Of All. For 50 Years, No One Has Heard Hide Nor Hair From Him... And In His Place Stands An Old Man Called Logan. A Man Concerned Only About His Family. A Man Pushed To The Brink By The Hulk Gang. A Man Forced To Help An Old Friend - The Blind Archer, Hawkeye - To Drive Three Thousand Miles To Secure His Family's Safety. Get Ready For The Ride Of Your Life, Logan!<p>collects Wolverine #66-72, And Wolverine Giant-size Old Man Logan.</p>"
19,BATMAN: BATTLE FOR THE COWL,"['Daniel, Tony', 'Nicieza, Fabian']",9781401224165,"<p><p>&quot;batman&#58; R.i.p.&quot; And Final Crisis Saw The End Of Batman. Now, Months Following The Disappearance Of Her Protector, Gotham City Sits At A Precipice And It May Be Too Far Gone For Nightwing, Robin, Commissioner Gordon And The Rest Of The City's Heroes To Save The Day. Amid The Fires, Rioting, Looting And Gang Warfare, One Question Rings Out From The Souls Of Gotham's Desperate Citizens&#58; Where Is Batman?<p>with Guest-stars Galore, The Destruction Of A Sacred Gotham City Institution And An Ending That Will Have Everyone Talking, This Event Written And Drawn By Tony Daniel (the Tenth) And Other Top Creators Features The Battle To Take On The Mantle Of The Bat. Who Has Earned The Right? Who Thinks They Deserve It? Robin? Nightwing? Jason Todd? Two-face? Catwoman? Batgirl? Who Will Ultimately Win The Battle For The Cowl?</p>"
20,GOING ROGUE,"['Palin, Sarah']",9780061939891,"Sarah Palin, The First Female Republican Vice Presidential Candidate, Recounts Her Political Experiences, Her Rapid Rise On The National Stage During The 2008 Campaign, And The Personal Challenges She's Faced Including Balancing Her Time As A Working Mother, Recognizing The War's Impact With Her Son Serving Combat In Iraq, Having A Child With A Disability, And Supporting Her Teenage Daughter With An Unplanned Pregnancy. Sarah Palin."
21,HAVE A LITTLE FAITH,"['Albom, Mitch']",9780786868728,"<p>What if our beliefs were not what divided us, but what pulled us together?<p> In <i>Have a Little Faith</i>, Mitch Albom offers a beautifully written story of a remarkable eight year journey between two worlds - two men, two faiths, two communities - that will inspire readers everywhere. <p> Albom's first nonfiction book since <i>Tuesdays with Morrie</i> was published twelve years ago, <i>Have A Little Faith</i> begins with an unusual request: an 82-year-old rabbi from Albom's old hometown asks him to deliver his eulogy. <p> Feeling unworthy, Albom insists on understanding the man better, which throws him back into a world of faith he'd left years ago. Meanwhile, closer to his current home, Albom becomes involved with a Detroit pastor - a reformed drug dealer and convict - who preaches to the poor and homeless in a decaying church with a hole in its roof. <p> Moving between their worlds, Christian and Jewish, African-American and white, impoverished and well-to-do, Mitch observes how these very different men employ faith similarly in fighting for survival: the older, suburban rabbi, embracing it as death approaches; the younger, inner-city pastor relying on it to keep himself and his church afloat. <p> As America struggles with hard times and people turn more to their beliefs, Mitch and the two men of God explore issues that perplex modern man: how to endure when difficult things happen; what heaven is; intermarriage; forgiveness; doubting God; and the importance of faith in trying times. Although the texts, prayers and histories are different, Albom begins to realize a striking unity between the two worlds - and indeed, between beliefs everywhere. <p> In the end, as the rabbi nears death and a harsh winter threatens the pastor's wobbly church, Albom sadly fulfills the last request and writes the eulogy. And he finally understands what both men had been teaching all along: the profound comfort of believing in something bigger than yourself. <p> <i>Have a Little Faith</i> is a book about a life's purpose; about losing belief and finding it again; about the divine spark inside us all. It is one man's journey, but it is everyone's story.</p> <h3>Publishers Weekly</h3> <p>Starred Review. <P>Albom delivers a command audio performance. He brings his two clergymen-protagonists-an elderly rabbi from Albom's home synagogue and an African-American pastor leading a ministry to Detroit's homeless population-to vivid life and conveys their messages of faith with sensitivity and respect. The audio's most memorable moments feature the humility-and eccentricity-of the two spiritual leaders who, despite their deep religious commitment, refuse to be placed on a pedestal. From the ail-ing Jewish leader breaking out into whimsical songs in the middle of his grueling medical treatments and his Christian counterpart savoring the joys of barbecuing, Albom's characterizations brim with humor and compassion. A Hyperion hardcover. <BR>Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.</p>"
22,ARGUING WITH IDIOTS,"['Glenn Beck', 'Kevin Balfe']",9781416595014,"<p class=""null1"">FUNNY.</p>
<p class=""null1"">FRIGHTENING.</p>
<p class=""null1"">TRUE.</p>
<p>It happens to all of us: You're minding your own business, when some idiot informs you that guns are evil, the Prius will save the planet, or the rich have to finally start paying their fair share of taxes.</p>
<p><i>Just go away!</i> you think to yourself — but they only become more obnoxious. Your heart rate quickens. You start to sweat. You can't get away. Your only hope is...</p>
<p class=""null1"">...this book.</p>
<p>Glenn Beck, author of the #1 <i>New York Times</i> bestsellers <i>An Inconvenient Book</i> and <i>Glenn Beck's Common Sense</i>, has stumbled upon the secret formula to winning arguments against people with big mouths but small minds: knowing the facts.</p>
<p class=""null1"">And this book is full of them.</p>
<p>The next time your Idiot Friends tell you how gun control prevents gun violence, you'll tell them all about England's handgun ban (see page 53). When they tell you that we should copy the UK's health-care system, you'll recount the horrifying facts you read on page 244. And the next time an idiot tells you that vegetable prices will skyrocket without illegal workers, you'll stop saying ""no, they won't"" and you'll start saying, ""actually, eliminating all illegal labor will cause us to spend just $8 a year more on produce."" (See page 139.)</p>
<p>Idiots can't be identified through voting records, they can be found only by looking for people who hide behind stereotypes, embrace partisanship, and believe that bumper sticker slogans are a substitute for common sense. If you know someone who fits the bill, then <i>Arguing with Idiots</i> will help you silence them once and for all with the ultimate weapon: the truth.</p>"
23,STONES INTO SCHOOLS,['Greg Mortenson'],9780670021154,"<p class=""null1"">From the author of the #1 bestseller <i>Three Cups of Tea</i>, the continuing story of this determined humanitarian’s efforts to promote peace through education</p>
<p>In this dramatic first-person narrative, Greg Mortenson picks up where <i>Three Cups of Tea</i> left off in 2003, recounting his relentless, ongoing efforts to establish schools for girls in Afghanistan; his extensive work in Azad Kashmir and Pakistan after a massive earthquake hit the region in 2005; and the unique ways he has built relationships with Islamic clerics, militia commanders, and tribal leaders. He shares for the first time his broader vision to promote peace through education and literacy, as well as touching on military matters, Islam, and women—all woven together with the many rich personal stories of the people who have been involved in this remarkable two-decade humanitarian effort.</p>
<p>Since the 2006 publication of <i>Three Cups of Tea</i>, Mortenson has traveled across the U.S. and the world to share his vision with hundreds of thousands of people. He has met with heads of state, top military officials, and leading politicians who all seek his advice and insight. The continued phenomenal success of <i>Three Cups of Tea</i> proves that there is an eager and committed audience for Mortenson’s work and message.</p>"
24,OPEN,"['Agassi, Andre']",9780307268198,"From Andre Agassi, One Of The Most Beloved Athletes In History And One Of The Most Gifted Men Ever To Step Onto A Tennis Court, A Beautiful, Haunting Autobiography. Andre Agassi. Borzoi Book."
25,NARUTO 46,"['Kishimoto, Masashi']",9781421533049,"<p>Naruto is a young shinobi with an incorrigible knack for mischief. He’s got a wild sense of humor, but Naruto is completely serious about his mission to be the world’s greatest ninja! R to L (Japanese Style). N/A Naruto is a ninja-in-training with a need for attention, a knack for mischief and, sealed within him, a strange, formidable power. His antics amuse his instructor Kakashi and irritate his teammates, intense Sasuke and witty Sakura, but Naruto is serious about becoming the greatest ninja in the village of Konohagakure!</p>"
26,"BLEACH, VOL.  29","['Kubo, Tite']",9781421523873,"<p><br>R to L (Japanese Style). Cleaning up the afterlife ? one spirit at a time!<P>Ever since he was little, Ichigo Kurosaki has been able to see the spirits of the dead, so when a teenage girl materializes through his bedroom wall, this should be no call for alarm. Rukia Kuchiki is a shinigami, a member of the mysterious Soul Society that is charged with capturing rogue ghosts, and is hot on the trail of an evil spirit. But in the ensuing confrontation, Ichigo absorbs Rukia's powers, giving him the ability to not only see the undead, but to fight them as well. Now this 15-year-old high school student begins a brand new vocation&#58; hyperkinetic, all-purpose ghost-busting. With enough attitude to make a grown ghost blush, Ichigo and crew are taking on the after-life one ghoulie at time.<P><b>The Slashing Opera</b> Ichigo and his friends knew invading Hueco Mundo wouldn't be easy, but even the lesser Arrancars are pushing them to their limits! Can Ichigo, Ury? and Chad find the inner strength to overcome the first line of attack, or will Orihime be stuck in Hueco Mundo forever?! Ichigo Kurosaki never asked for the ability to see ghosts--he was born with the gift. When his family is attacked by a Hollow--a malevolent lost soul--Ichigo becomes a Soul Reaper, dedicating his life to protecting the innocent and helping the tortured spirits themselves find peace. Find out why Tite Kubo's <b><I>Bleach</i></b> has become an international manga smash-hit!</p>"
